from,to,relation,time
21,28,1,2018
21,26,1,2018
21,29,1,2017
21,29,1,2018
21,33,1,2019
21,34,1,2018
22,20,1,2019
22,32,1,2019
22,34,1,2019
23,24,1,2017
23,24,1,2018
23,24,1,2018
23,24,1,2018
23,24,1,2018
23,26,1,2015
23,26,1,2015
23,26,1,2018
23,28,1,2016
23,28,1,2018
23,29,1,2017
23,29,1,2018
23,30,1,2015
23,30,1,2015
23,31,1,2016
23,33,1,2015
23,33,1,2015
23,33,1,2017
23,33,2,2019
23,34,1,2017
23,34,1,2017
23,34,1,2017
23,34,1,2018
23,35,2,2019
23,35,1,2016
24,25,1,2019
24,26,1,2018
24,28,1,2016
24,28,1,2016
24,28,1,2016
24,28,1,2016
24,28,1,2018
24,29,1,2017
24,29,1,2018
24,30,1,2017
24,30,1,2017
24,30,1,2017
24,31,1,2016
24,31,1,2016
24,31,1,2017
24,33,1,2017
24,33,1,2017
24,33,1,2018
24,33,2,2018
24,34,1,2016
24,34,1,2016
24,34,1,2016
24,34,1,2017
24,34,1,2017
24,34,1,2017
24,34,1,2017
24,34,1,2017
24,34,1,2018
24,34,1,2019
24,34,1,2019
24,35,1,2015
24,35,1,2015
24,35,1,2015
24,35,1,2015
24,35,1,2015
24,35,1,2018
25,20,1,2016
25,20,1,2019
25,26,1,2015
25,26,1,2015
25,28,1,2016
25,28,1,2016
25,28,1,2017
25,29,1,2018
25,29,1,2019
25,29,1,2020
25,34,1,2016
25,34,1,2017
25,34,1,2017
25,34,1,2019
25,34,1,2019
25,35,1,2015
25,35,1,2019
26,28,1,2018
26,28,1,2018
26,29,1,2018
26,29,1,2018
26,29,1,2018
26,30,1,2015
26,30,1,2015
26,30,1,2015
26,30,1,2015
26,30,1,2016
26,31,1,2016
26,31,1,2018
26,33,1,2015
26,33,1,2015
26,33,1,2015
26,33,1,2018
26,34,1,2016
26,34,1,2018
26,34,1,2018
26,34,1,2018
26,34,1,2018
26,35,1,2015
26,35,1,2016
26,35,1,2016
26,35,1,2018
27,20,1,2019
27,20,1,2019
27,20,1,2020
27,22,1,2019
28,29,1,2017
28,29,1,2018
28,29,1,2018
28,30,1,2015
28,30,1,2015
28,30,1,2015
28,30,1,2017
28,30,1,2017
28,31,1,2016
28,31,1,2017
28,31,1,2017
28,33,1,2019
28,34,1,2016
28,34,1,2016
28,34,1,2016
28,34,1,2016
28,34,1,2016
28,34,1,2017
28,34,1,2017
28,34,1,2017
28,34,1,2018
28,34,1,2018
28,35,1,2015
28,35,1,2016
28,35,1,2016
28,35,1,2016
28,35,1,2016
28,35,1,2016
28,35,1,2016
29,32,1,2019
29,34,3,2017
29,34,1,2019
29,34,2,2019
29,34,4,2020
30,31,1,2017
30,31,1,2017
30,31,1,2017
30,33,1,2015
30,33,1,2015
30,33,1,2016
30,33,1,2017
30,34,1,2016
30,34,1,2017
30,34,1,2019
30,35,1,2015
30,35,1,2016
30,35,1,2016
30,35,1,2017
30,35,1,2017
31,32,1,2016
31,34,1,2016
31,34,1,2017
31,34,1,2018
31,35,1,2015
31,35,1,2016
31,35,1,2016
31,35,1,2017
33,34,1,2017
33,34,1,2018
33,35,1,2015
33,35,1,2017
33,35,1,2018
33,35,1,2018
33,35,1,2018
34,35,1,2016
